Date,Total_Type0_Amount,Total_Type1_Amount,Total_Amount,Total_TP_Amount
1/1/2022,32233.46,9843.72,42077.18,42077.16
1/2/2022,32078.59,10696.94,42775.53,42725.93
1/3/2022,31754.32,11160.78,42915.1,42841.57
1/4/2022,39950.62,12339.56,52290.18,52290.2
1/5/2022,39783.21,12104.31,51887.52,51885.49
1/6/2022,41992,13158.65,55150.65,55116.06
1/7/2022,41276.58,13670.17,54946.75,54897.18
1/8/2022,41422.91,12130.4,53553.31,53496.13
1/9/2022,39895.29,12148.65,52043.94,52043.94
1/10/2022,40084.97,13430.76,53515.73,53481.91
1/11/2022,40616.88,12673.26,53290.14,53265.59
1/12/2022,41091.96,12547.3,53639.26,53622.37
1/13/2022,40211.17,13637.99,53849.16,53835.66
1/14/2022,41051.02,13147.61,54198.63,54198.64
1/15/2022,39124.35,13086.96,52211.31,52211.28
1/16/2022,40882.39,13667.4,54549.79,54549.77
1/17/2022,40448.95,12204.39,52653.34,52653.32
1/18/2022,41603.69,12487.89,54091.58,54000.57
1/19/2022,40459.25,13822.38,54281.63,54281.65
1/20/2022,40395.03,12205.68,52600.71,52513.68
1/21/2022,42375.39,12493.35,54868.74,54841.21
1/22/2022,41188.43,12167.55,53355.98,53315.59
1/23/2022,40966.06,13094.3,54060.36,54003.82
1/24/2022,42077.79,11902.67,53980.46,53980.42
1/25/2022,40105.63,13141.95,53247.58,53226.14
1/26/2022,39507.01,12319.35,51826.36,51805.63
1/27/2022,41948.94,12994.54,54943.48,54943.49
1/28/2022,39600.19,12051.94,51652.13,51629.96
1/29/2022,40984.42,14320.45,55304.87,55235.8
1/30/2022,40682.92,12641.81,53324.73,53301.01
1/31/2022,41367.1,13531.35,54898.45,54898.44
2/1/2022,39058.21,13188.83,52247.04,52219.1
2/2/2022,39163.26,13340.31,52503.57,52468.47
2/3/2022,40366.7,13089.18,53455.88,53372.96
2/4/2022,39504.79,13198.63,52703.42,52667.47
2/5/2022,40974.35,13647.82,54622.17,54622.18
2/6/2022,40311.15,12618.27,52929.42,52929.4
2/7/2022,38918.64,13066.38,51985.02,51985.04
2/8/2022,41182.81,13316.74,54499.55,54478.6
2/9/2022,41665.75,13138.39,54804.14,54804.13
2/10/2022,42242.48,12095.13,54337.61,54337.63
2/11/2022,39967.81,12844.22,52812.03,52787.49
2/12/2022,40375.2,12872.28,53247.48,53136.49
2/13/2022,39610,12458.54,52068.54,51987.54
2/14/2022,38652.94,12278.28,50931.22,50914.76
2/15/2022,39794.81,12626.63,52421.44,52376.14
2/16/2022,39221.76,11648.81,50870.57,50870.56
2/17/2022,40070.76,12924.09,52994.85,52962.75
2/18/2022,38753.95,13257.98,52011.93,52011.94
2/19/2022,40038.25,11225.65,51263.9,51232.68
2/20/2022,40670.61,12423.1,53093.71,53024.93
2/21/2022,38229.24,13469.37,51698.61,51691.79
2/22/2022,40606.35,13067.19,53673.54,53606.12
2/23/2022,39918.19,12903.57,52821.76,52796.02
2/24/2022,40088.34,12406.34,52494.68,52465.1
2/25/2022,39168.38,12783.05,51951.43,51919.63
2/26/2022,40698.55,12390.49,53089.04,53080.8
2/27/2022,39382.07,12702.21,52084.28,52084.29
2/28/2022,40874.25,12375.37,53249.62,53249.64
3/1/2022,41430.67,13086.81,54517.48,54451.39
3/2/2022,40911.27,11868.66,52779.93,52748.96
3/3/2022,40205.61,12800.4,53006.01,53006.01
3/4/2022,38962.08,13180.47,52142.55,52123.49
3/5/2022,38774.54,13023.56,51798.1,51798.08
3/6/2022,39956.39,12956.1,52912.49,52912.48
3/7/2022,39274.48,13173.61,52448.09,52448.08
3/8/2022,40647.7,11998.44,52646.14,52604.79
3/9/2022,40472.39,12553.13,53025.52,52948.46
3/10/2022,41497.12,12568.03,54065.15,54004.06
3/11/2022,40304.42,12760.37,53064.79,53064.81
3/12/2022,40993.77,12939.89,53933.66,53933.65
3/13/2022,40002.98,12962.68,52965.66,52945.07
3/14/2022,41274.87,12550.97,53825.84,53825.81
3/15/2022,38970.08,12537.19,51507.27,51485.29
3/16/2022,40110.64,12544.71,52655.35,52630.02
3/17/2022,41837.45,12461.52,54298.97,54298.97
3/18/2022,40137.53,12262.68,52400.21,52345.05
3/19/2022,41721.55,12673.84,54395.39,54352.5
3/20/2022,39736.54,12625.78,52362.32,52312.66
3/21/2022,41758.71,13563.39,55322.1,55285.43
3/22/2022,40636.65,12394.28,53030.93,53020.38
3/23/2022,41949.83,12877.83,54827.66,54827.65
