Completed_At,Transaction_ID,FFI_Amount,TP_Amount,User_ID,User_Type,Status
1/1/22 6:29,1182,28.81,28.80,940,0,SUCCESS
1/1/22 21:47,3964,0.01,0.00,847,0,SUCCESS
1/2/22 7:06,3976,21.09,21.10,199,0,SUCCESS
1/2/22 7:37,5710,13.01,13.00,334,1,SUCCESS
1/3/22 6:35,9807,13.50,13.51,369,0,SUCCESS
1/4/22 4:00,13663,31.76,31.77,958,0,SUCCESS
1/4/22 6:27,14123,37.28,37.29,31,0,SUCCESS
1/5/22 7:02,5607,26.52,26.51,749,0,SUCCESS
1/5/22 22:20,20997,16.71,16.70,96,1,SUCCESS
1/6/22 7:12,9913,19.75,19.76,654,1,SUCCESS
1/6/22 20:26,25322,18.96,18.97,937,0,SUCCESS
1/7/22 14:22,28534,32.13,32.14,800,0,SUCCESS
1/7/22 15:30,27565,25.34,25.35,636,1,SUCCESS
1/8/22 11:05,32254,30.42,30.41,600,0,SUCCESS
1/8/22 11:24,32316,14.90,14.89,263,0,SUCCESS
1/8/22 19:32,33541,2.12,2.13,239,0,SUCCESS
1/9/22 12:38,36671,16.51,16.52,162,1,SUCCESS
1/9/22 13:48,34514,25.11,25.10,987,0,SUCCESS
1/10/22 1:46,39144,7.44,7.45,143,0,SUCCESS
1/11/22 9:44,44903,12.84,12.85,761,0,SUCCESS
1/11/22 15:44,45980,31.00,31.01,444,0,SUCCESS
1/12/22 5:12,48364,13.22,13.23,403,0,SUCCESS
1/12/22 19:02,50863,41.58,41.59,419,0,SUCCESS
1/12/22 22:53,51541,31.41,31.40,939,0,SUCCESS
1/13/22 4:31,52570,30.28,30.27,488,0,SUCCESS
1/14/22 5:27,57052,29.89,29.90,426,0,SUCCESS
1/15/22 0:13,60390,15.60,15.59,396,1,SUCCESS
1/15/22 2:36,47922,31.38,31.37,863,0,SUCCESS
1/15/22 2:37,60813,18.95,18.96,874,0,SUCCESS
1/15/22 11:43,62436,18.27,18.26,82,1,SUCCESS
1/15/22 19:32,63836,15.91,15.90,152,0,SUCCESS
1/16/22 17:50,67777,8.49,8.48,77,0,SUCCESS
1/16/22 20:27,55436,25.14,25.13,877,0,SUCCESS
1/17/22 4:32,69830,16.72,16.73,710,0,SUCCESS
1/17/22 10:05,70772,38.04,38.03,628,0,SUCCESS
1/17/22 17:02,72034,23.23,23.22,944,0,SUCCESS
1/17/22 22:29,73010,37.35,37.34,954,1,SUCCESS
1/18/22 2:05,72306,21.97,21.98,443,0,SUCCESS
1/18/22 15:10,63050,21.45,21.46,17,0,SUCCESS
1/19/22 0:19,77777,22.50,22.51,16,0,SUCCESS
1/19/22 2:44,78227,21.73,21.74,489,0,SUCCESS
1/20/22 7:52,80171,16.49,16.48,414,0,SUCCESS
1/20/22 15:55,84968,12.85,12.86,726,0,SUCCESS
1/21/22 10:15,88267,20.20,20.19,499,1,SUCCESS
1/22/22 5:29,91753,14.25,14.24,152,0,SUCCESS
1/22/22 5:40,91177,4.42,4.41,949,1,SUCCESS
1/23/22 21:50,99085,20.41,20.42,937,0,SUCCESS
1/24/22 0:05,99506,9.66,9.65,581,0,SUCCESS
1/24/22 2:18,86858,22.71,22.70,309,0,SUCCESS
1/24/22 10:09,101383,5.55,5.54,817,0,SUCCESS
1/24/22 15:21,102327,22.57,22.56,952,0,SUCCESS
1/25/22 0:01,90768,8.05,8.06,288,0,SUCCESS
1/25/22 2:34,104261,29.56,29.55,445,1,SUCCESS
1/26/22 1:25,108383,26.14,26.13,709,0,SUCCESS
1/26/22 15:29,97915,17.20,17.21,367,0,SUCCESS
1/27/22 3:46,113119,11.09,11.10,946,0,SUCCESS
1/27/22 4:45,113222,21.42,21.41,841,0,SUCCESS
1/27/22 6:13,113531,17.22,17.23,827,0,SUCCESS
1/28/22 2:02,117164,27.61,27.60,984,0,SUCCESS
1/28/22 3:27,104424,33.27,33.26,768,0,SUCCESS
1/28/22 6:19,117602,40.36,40.35,665,0,SUCCESS
1/28/22 7:19,118131,24.56,24.57,292,0,SUCCESS
1/28/22 7:27,118156,11.44,11.45,850,0,SUCCESS
1/28/22 14:36,119447,48.19,48.18,821,1,SUCCESS
1/28/22 15:31,119603,5.20,5.21,418,0,SUCCESS
1/28/22 19:08,120241,5.87,5.88,129,0,SUCCESS
1/29/22 4:18,108880,2.51,2.52,791,1,SUCCESS
1/29/22 20:09,118386,23.82,23.81,466,1,SUCCESS
1/30/22 5:08,113361,0.01,0.00,580,0,SUCCESS
1/30/22 19:18,127270,15.83,15.84,714,1,SUCCESS
1/30/22 20:29,129181,19.92,19.93,237,0,SUCCESS
1/31/22 4:49,130711,23.31,23.32,455,0,SUCCESS
1/31/22 21:44,133197,22.49,22.48,523,0,SUCCESS
2/1/22 1:23,121341,23.46,23.45,353,0,SUCCESS
2/1/22 1:33,134380,19.53,19.52,525,0,SUCCESS
